node_id,CT
0,39041011421
1,39041011423
2,39041011520
3,39041011540
4,39041011561
5,39041011760
6,39041012400
7,39045030602
8,39045032701
9,39045032703
10,39045032704
11,39045033000
12,39049000110
13,39049000120
14,39049000210
15,39049000220
16,39049000310
17,39049000320
18,39049000330
19,39049000410
20,39049000420
21,39049000500
22,39049000600
23,39049000710
24,39049000720
25,39049000730
26,39049000810
27,39049000820
28,39049000910
29,39049000920
30,39049001000
31,39049001110
32,39049001121
33,39049001122
34,39049001200
35,39049001301
36,39049001302
37,39049001400
38,39049001500
39,39049001600
40,39049001700
41,39049001810
42,39049001820
43,39049001901
44,39049001902
45,39049002000
46,39049002200
47,39049002300
48,39049002510
49,39049002520
50,39049002600
51,39049002710
52,39049002730
53,39049002760
54,39049002770
55,39049002780
56,39049002800
57,39049002900
58,39049003200
59,39049003600
60,39049003700
61,39049003800
62,39049004001
63,39049004200
64,39049004302
65,39049004500
66,39049004610
67,39049004620
68,39049004700
69,39049004810
70,39049004820
71,39049004900
72,39049005001
73,39049005002
74,39049005100
75,39049005200
76,39049005300
77,39049005410
78,39049005420
79,39049005500
80,39049005610
81,39049005620
82,39049005700
83,39049005810
84,39049005820
85,39049005900
86,39049006000
87,39049006100
88,39049006239
89,39049006240
90,39049006241
91,39049006301
92,39049006302
93,39049006310
94,39049006321
95,39049006323
96,39049006330
97,39049006351
98,39049006352
99,39049006353
100,39049006372
101,39049006384
102,39049006386
103,39049006387
104,39049006391
105,39049006392
106,39049006393
107,39049006394
108,39049006395
109,39049006396
110,39049006397
111,39049006410
112,39049006430
113,39049006500
114,39049006600
115,39049006722
116,39049006810
117,39049006821
118,39049006822
119,39049006921
120,39049006923
121,39049006924
122,39049006931
123,39049006932
124,39049006933
125,39049006943
126,39049006944
127,39049006945
128,39049006950
129,39049006991
130,39049006992
131,39049007041
132,39049007043
133,39049007044
134,39049007047
135,39049007048
136,39049007112
137,39049007113
138,39049007114
139,39049007115
140,39049007120
141,39049007199
142,39049007205
143,39049007211
144,39049007213
145,39049007214
146,39049007215
147,39049007301
148,39049007302
149,39049007303
150,39049007394
151,39049007397
152,39049007398
153,39049007424
154,39049007427
155,39049007511
156,39049007512
157,39049007520
158,39049007531
159,39049007532
160,39049007533
161,39049007534
162,39049007550
163,39049007552
164,39049007553
165,39049007710
166,39049007721
167,39049007722
168,39049007730
169,39049007740
170,39049007811
171,39049007812
172,39049007820
173,39049007830
174,39049007922
175,39049007931
176,39049007941
177,39049007955
178,39049007956
179,39049007957
180,39049007958
181,39049007959
182,39049007960
183,39049007961
184,39049007962
185,39049007963
186,39049007965
187,39049007966
188,39049008001
189,39049008002
190,39049008110
191,39049008120
192,39049008132
193,39049008163
194,39049008164
195,39049008165
196,39049008166
197,39049008167
198,39049008168
199,39049008169
200,39049008170
201,39049008171
202,39049008172
203,39049008210
204,39049008230
205,39049008241
206,39049008242
207,39049008311
208,39049008312
209,39049008321
210,39049008322
211,39049008330
212,39049008340
213,39049008350
214,39049008360
215,39049008380
216,39049008381
217,39049008382
218,39049008400
219,39049008500
220,39049008710
221,39049008720
222,39049008730
223,39049008811
224,39049008812
225,39049008813
226,39049008821
227,39049008822
228,39049008825
229,39049008900
230,39049009000
231,39049009220
232,39049009230
233,39049009250
234,39049009251
235,39049009252
236,39049009311
237,39049009312
238,39049009321
239,39049009322
240,39049009323
241,39049009325
242,39049009326
243,39049009332
244,39049009334
245,39049009337
246,39049009340
247,39049009350
248,39049009361
249,39049009372
250,39049009373
251,39049009381
252,39049009390
253,39049009391
254,39049009392
255,39049009393
256,39049009394
257,39049009395
258,39049009396
259,39049009397
260,39049009401
261,39049009403
262,39049009410
263,39049009420
264,39049009495
265,39049009498
266,39049009520
267,39049009590
268,39049009752
269,39049009753
270,39049009754
271,39049009755
272,39049009801
273,39049009802
274,39049009900
275,39049010000
276,39049010100
277,39049010201
278,39049010202
279,39049010203
280,39049010204
281,39049010300
282,39049010601
283,39049010602
284,39049010700
285,39049980000
286,39089755601
287,39089755901
288,39089755902
289,39097040101
290,39097040102
291,39097040400
292,39097040500
293,39097041100
294,39129021101
295,39129021202
296,39129021401
297,39129021403
298,39129021404
299,39159050601
